Gemeentecode,Opgenomen,Gemeente,Provinciecode,Provincie,Datum
297,15,Zaltbommel,25,Gelderland,2020-04-09
473,8,Zandvoort,27,Noord-Holland,2020-04-09
50,6,Zeewolde,24,Flevoland,2020-04-09
355,26,Zeist,26,Utrecht,2020-04-09
299,28,Zevenaar,25,Gelderland,2020-04-09
637,31,Zoetermeer,28,Zuid-Holland,2020-04-09
638,2,Zoeterwoude,28,Zuid-Holland,2020-04-09
1892,16,Zuidplas,28,Zuid-Holland,2020-04-09
879,15,Zundert,30,Noord-Brabant,2020-04-09
301,12,Zutphen,25,Gelderland,2020-04-09
1896,29,Zwartewaterland,23,Overijssel,2020-04-09
642,12,Zwijndrecht,28,Zuid-Holland,2020-04-09
193,42,Zwolle,23,Overijssel,2020-04-09
